Radiologist ID,Date,Avg Temp (°C),Rainfall (mm),Travel Cost (£),Internet Issues at Home,Trainee Assigned,Supervised Session,Cold Session,Admin Work,Morning Shift Work Location,Afternoon Shift Work Location
R10,2023-07-07,19.29025,0.0,10.86,No,Yes,No,No,No,office,office
R11,2023-07-07,19.29025,0.0,12.05,No,No,No,No,Yes,home,office
R1,2023-07-10,19.090254,0.1,8.51,No,Yes,No,No,No,office,office
R2,2023-07-10,19.090254,0.1,12.4,No,No,No,No,No,home,home
R3,2023-07-10,19.090254,0.1,6.39,No,No,No,No,No,office,home
R4,2023-07-10,19.090254,0.1,8.73,Yes,No,No,No,Yes,office,office
R5,2023-07-10,19.090254,0.1,5.83,No,No,No,No,Yes,office,office
R6,2023-07-10,19.090254,0.1,8.49,Yes,No,No,No,No,office,office
R7,2023-07-10,19.090254,0.1,7.85,No,No,No,No,No,home,office
R8,2023-07-10,19.090254,0.1,5.96,No,No,No,No,No,home,home
R9,2023-07-10,19.090254,0.1,14.4,No,No,No,No,No,home,office
R10,2023-07-10,19.090254,0.1,10.86,No,No,No,No,No,office,home
R11,2023-07-10,19.090254,0.1,8.6,No,Yes,No,No,No,office,office
R1,2023-07-11,19.490255,4.8,7.35,No,No,No,No,Yes,home,office
R2,2023-07-11,19.490255,4.8,13.16,No,Yes,No,No,Yes,office,office
R3,2023-07-11,19.490255,4.8,14.63,No,Yes,No,No,No,office,office
R4,2023-07-11,19.490255,4.8,8.65,Yes,No,No,No,No,office,office
R5,2023-07-11,19.490255,4.8,11.08,No,No,No,No,No,home,home
R6,2023-07-11,19.490255,4.8,8.49,Yes,No,No,No,Yes,office,office
R7,2023-07-11,19.490255,4.8,7.85,No,No,No,No,No,home,home
R8,2023-07-11,19.490255,4.8,5.96,No,No,No,No,Yes,home,office
R9,2023-07-11,19.490255,4.8,6.38,No,No,No,No,No,office,home
R10,2023-07-11,19.490255,4.8,8.34,No,No,No,No,No,office,home
R11,2023-07-11,19.490255,4.8,8.6,Yes,No,No,No,No,office,office
R1,2023-07-12,17.234,1.0,8.51,No,No,No,No,No,home,home
R2,2023-07-12,17.234,1.0,11.11,No,No,No,No,No,office,office
R3,2023-07-12,17.234,1.0,6.39,Yes,No,No,No,No,office,office
R4,2023-07-12,17.234,1.0,8.73,No,Yes,No,No,No,office,office
R5,2023-07-12,17.234,1.0,5.83,No,Yes,No,No,No,office,office
R6,2023-07-12,17.234,1.0,8.49,No,No,No,No,No,home,office
R7,2023-07-12,17.234,1.0,7.85,No,No,No,No,No,home,office
R8,2023-07-12,17.234,1.0,5.96,No,No,No,No,No,home,home
R9,2023-07-12,17.234,1.0,6.38,No,No,No,No,No,home,office
R10,2023-07-12,17.234,1.0,10.86,No,No,No,No,No,office,home
R11,2023-07-12,17.234,1.0,8.6,No,No,No,No,No,home,office
R1,2023-07-13,16.9465,1.0,8.51,No,No,No,No,No,office,home
R2,2023-07-13,16.9465,1.0,13.16,No,No,No,No,No,home,office
R3,2023-07-13,16.9465,1.0,10.51,No,No,No,No,Yes,office,home
R4,2023-07-13,16.9465,1.0,5.99,No,No,No,No,No,office,home
R5,2023-07-13,16.9465,1.0,13.03,No,No,No,No,No,home,home
R6,2023-07-13,16.9465,1.0,7.97,No,Yes,No,No,No,office,office
R7,2023-07-13,16.9465,1.0,9.88,No,Yes,No,No,Yes,office,office
R8,2023-07-13,16.9465,1.0,5.6,No,No,No,No,No,home,home
R9,2023-07-13,16.9465,1.0,6.38,No,No,No,No,No,home,office
R10,2023-07-13,16.9465,1.0,10.86,No,No,No,No,Yes,office,home
R11,2023-07-13,16.9465,1.0,8.6,No,No,No,No,Yes,office,office
R1,2023-07-14,16.240252,16.3,8.51,No,No,No,No,No,office,office
R2,2023-07-14,16.240252,16.3,19.77,No,No,No,No,No,home,office
R3,2023-07-14,16.240252,16.3,12.28,No,No,No,No,No,home,home
R4,2023-07-14,16.240252,16.3,8.73,No,No,No,No,No,office,office
R5,2023-07-14,16.240252,16.3,16.5,No,No,No,No,No,home,home
R6,2023-07-14,16.240252,16.3,24.54,No,No,No,No,No,office,home
R7,2023-07-14,16.240252,16.3,21.83,No,No,No,No,No,office,office
R8,2023-07-14,16.240252,16.3,5.96,No,Yes,No,No,No,office,office
R9,2023-07-14,16.240252,16.3,14.33,Yes,Yes,No,No,Yes,office,office
R10,2023-07-14,16.240252,16.3,10.86,No,No,No,No,No,office,home
R11,2023-07-14,16.240252,16.3,9.93,No,No,No,No,No,home,home
R1,2023-07-17,16.22775,2.2999997,8.51,No,No,No,No,No,office,home
R2,2023-07-17,16.22775,2.2999997,13.16,No,No,No,No,No,office,home
R3,2023-07-17,16.22775,2.2999997,6.39,No,No,No,No,No,home,home
R4,2023-07-17,16.22775,2.2999997,8.73,No,No,No,No,No,office,office
R5,2023-07-17,16.22775,2.2999997,5.83,No,No,No,No,No,office,home
R6,2023-07-17,16.22775,2.2999997,8.49,Yes,No,No,No,No,office,office
R7,2023-07-17,16.22775,2.2999997,14.17,No,No,No,No,Yes,home,office
R8,2023-07-17,16.22775,2.2999997,5.96,No,No,No,No,No,home,home
R9,2023-07-17,16.22775,2.2999997,13.87,No,No,No,No,No,home,home
R10,2023-07-17,16.22775,2.2999997,13.06,No,Yes,No,No,No,office,office
R11,2023-07-17,16.22775,2.2999997,8.6,No,Yes,No,No,Yes,office,office
R1,2023-07-18,16.727749,0.0,8.51,No,Yes,No,No,No,office,office
R2,2023-07-18,16.727749,0.0,7.4,No,Yes,No,No,Yes,office,office
R3,2023-07-18,16.727749,0.0,6.39,No,No,No,No,No,office,home
R4,2023-07-18,16.727749,0.0,8.73,Yes,No,No,No,No,office,office
R5,2023-07-18,16.727749,0.0,5.83,No,No,No,No,Yes,home,home
R6,2023-07-18,16.727749,0.0,8.49,No,No,No,No,No,home,home
R7,2023-07-18,16.727749,0.0,7.85,No,No,No,No,No,home,home
R8,2023-07-18,16.727749,0.0,14.42,No,No,No,No,Yes,office,home
R9,2023-07-18,16.727749,0.0,8.39,No,No,No,No,No,office,home
R10,2023-07-18,16.727749,0.0,10.86,No,No,No,No,Yes,office,home
R11,2023-07-18,16.727749,0.0,14.63,No,No,No,No,No,home,home
R1,2023-07-19,15.8965,7.3,8.51,No,No,No,No,No,home,office
R2,2023-07-19,15.8965,7.3,13.16,No,No,No,No,No,home,office
R3,2023-07-19,15.8965,7.3,6.39,No,Yes,No,No,No,office,office
R4,2023-07-19,15.8965,7.3,8.92,Yes,Yes,No,No,No,office,office
R5,2023-07-19,15.8965,7.3,5.17,No,No,No,No,No,home,office
R6,2023-07-19,15.8965,7.3,14.86,No,No,No,No,No,home,home
R7,2023-07-19,15.8965,7.3,7.85,No,No,No,No,No,home,home
R8,2023-07-19,15.8965,7.3,5.96,No,No,No,No,No,office,home
R9,2023-07-19,15.8965,7.3,6.38,No,No,No,No,No,office,home
R10,2023-07-19,15.8965,7.3,7.71,Yes,No,No,No,No,office,home
R11,2023-07-19,15.8965,7.3,8.6,No,No,No,No,No,office,home
R1,2023-07-20,15.481918,1.1,14.16,No,No,No,No,Yes,home,home
R2,2023-07-20,15.481918,1.1,5.4,No,No,No,No,No,office,home
R3,2023-07-20,15.481918,1.1,6.39,No,No,No,No,Yes,office,office
R4,2023-07-20,15.481918,1.1,8.73,No,No,No,No,Yes,home,home
R5,2023-07-20,15.481918,1.1,5.83,No,Yes,No,No,No,office,office
R6,2023-07-20,15.481918,1.1,9.93,No,Yes,No,No,Yes,office,office
R7,2023-07-20,15.481918,1.1,13.32,No,No,No,No,No,home,home
R8,2023-07-20,15.481918,1.1,5.02,No,No,No,No,No,home,home
R9,2023-07-20,15.481918,1.1,6.38,No,No,No,No,Yes,home,home
R10,2023-07-20,15.481918,1.1,10.86,No,No,No,No,No,office,home
R11,2023-07-20,15.481918,1.1,8.6,No,No,No,No,No,home,office
R1,2023-07-21,14.556918,4.5,8.51,No,No,No,No,No,home,office
R2,2023-07-21,14.556918,4.5,12.38,No,No,No,No,No,office,home
R3,2023-07-21,14.556918,4.5,6.39,No,No,No,No,No,home,office
R4,2023-07-21,14.556918,4.5,5.8,Yes,No,No,No,No,office,office
R5,2023-07-21,14.556918,4.5,5.83,No,No,No,No,No,office,office
R6,2023-07-21,14.556918,4.5,14.23,Yes,No,No,No,No,office,office
R7,2023-07-21,14.556918,4.5,6.33,No,Yes,No,No,No,office,office
R8,2023-07-21,14.556918,4.5,5.96,No,Yes,No,No,No,office,office
R9,2023-07-21,14.556918,4.5,6.38,No,No,No,No,No,office,home
R10,2023-07-21,14.556918,4.5,5.85,No,No,No,No,No,office,home
R11,2023-07-21,14.556918,4.5,13.4,No,No,No,No,No,office,home
R1,2023-07-24,14.627749,0.6,10.71,No,No,No,No,No,home,home
R2,2023-07-24,14.627749,0.6,13.16,No,No,No,No,Yes,home,office
R3,2023-07-24,14.627749,0.6,6.39,No,No,No,No,No,home,home
R4,2023-07-24,14.627749,0.6,8.73,No,No,No,No,No,home,home
R5,2023-07-24,14.627749,0.6,5.83,No,No,No,No,Yes,office,home
R6,2023-07-24,14.627749,0.6,8.49,No,No,No,No,No,home,office
R7,2023-07-24,14.627749,0.6,7.85,No,No,No,No,No,office,office
R8,2023-07-24,14.627749,0.6,5.96,No,No,No,No,No,home,office
R9,2023-07-24,14.627749,0.6,6.38,Yes,Yes,No,No,No,office,office
R10,2023-07-24,14.627749,0.6,10.86,No,Yes,No,No,Yes,office,office
R11,2023-07-24,14.627749,0.6,12.81,Yes,No,No,No,Yes,office,office
R1,2023-07-25,14.021501,0.2,8.51,No,Yes,No,No,Yes,office,office
R2,2023-07-25,14.021501,0.2,9.36,No,No,No,No,No,home,office
R3,2023-07-25,14.021501,0.2,8.26,No,No,No,No,No,home,office
R4,2023-07-25,14.021501,0.2,10.95,Yes,No,No,No,Yes,office,office
R5,2023-07-25,14.021501,0.2,5.83,No,No,No,No,No,office,office
R6,2023-07-25,14.021501,0.2,8.49,No,No,No,No,No,home,home
R7,2023-07-25,14.021501,0.2,8.58,No,No,No,No,No,home,home
R8,2023-07-25,14.021501,0.2,5.96,No,No,No,No,No,office,office
R9,2023-07-25,14.021501,0.2,6.38,No,No,No,No,Yes,home,office
R10,2023-07-25,14.021501,0.2,10.86,No,No,No,No,No,office,home
R11,2023-07-25,14.021501,0.2,12.47,No,Yes,No,No,No,office,office
R1,2023-07-26,16.123583,4.8999996,8.51,No,No,No,No,No,office,home
R2,2023-07-26,16.123583,4.8999996,13.16,No,Yes,No,No,No,office,office
R3,2023-07-26,16.123583,4.8999996,8.37,No,Yes,No,No,No,office,office
R4,2023-07-26,16.123583,4.8999996,10.43,No,No,No,No,No,office,office
R5,2023-07-26,16.123583,4.8999996,5.83,No,No,No,No,No,office,home
R6,2023-07-26,16.123583,4.8999996,6.56,No,No,No,No,No,home,office
R7,2023-07-26,16.123583,4.8999996,12.74,No,No,No,No,No,home,office
R8,2023-07-26,16.123583,4.8999996,5.96,No,No,No,No,No,office,office
R9,2023-07-26,16.123583,4.8999996,7.89,No,No,No,No,No,home,office
R10,2023-07-26,16.123583,4.8999996,10.86,No,No,No,No,No,office,home
R11,2023-07-26,16.123583,4.8999996,9.93,No,No,No,No,No,office,office
R1,2023-07-27,18.709002,7.799999,8.51,No,No,No,No,No,home,office
R2,2023-07-27,18.709002,7.799999,6.77,No,No,No,No,No,home,home
R3,2023-07-27,18.709002,7.799999,11.81,No,No,No,No,No,home,office
R4,2023-07-27,18.709002,7.799999,8.73,No,Yes,No,No,No,office,office
R5,2023-07-27,18.709002,7.799999,6.64,No,Yes,No,No,No,office,office
R6,2023-07-27,18.709002,7.799999,13.04,Yes,No,No,No,Yes,office,office
R7,2023-07-27,18.709002,7.799999,7.85,No,No,No,No,No,office,home
R8,2023-07-27,18.709002,7.799999,14.43,No,No,No,No,No,home,home
R9,2023-07-27,18.709002,7.799999,6.38,Yes,No,No,No,No,office,office
R10,2023-07-27,18.709002,7.799999,12.94,No,No,No,No,No,office,home
R11,2023-07-27,18.709002,7.799999,14.93,No,No,No,No,No,office,home
R1,2023-07-28,18.625671,0.5,11.02,No,No,No,No,No,office,home
R2,2023-07-28,18.625671,0.5,12.28,No,No,No,No,No,office,office
R3,2023-07-28,18.625671,0.5,6.39,No,No,No,No,Yes,office,home
R4,2023-07-28,18.625671,0.5,8.73,No,No,No,No,No,home,office
R5,2023-07-28,18.625671,0.5,5.83,No,No,No,No,No,office,home
R6,2023-07-28,18.625671,0.5,8.49,Yes,Yes,No,No,No,office,office
R7,2023-07-28,18.625671,0.5,7.85,No,Yes,No,No,Yes,office,office
R8,2023-07-28,18.625671,0.5,14.53,No,No,No,No,Yes,home,home
R9,2023-07-28,18.625671,0.5,6.38,No,No,No,No,No,office,office
R10,2023-07-28,18.625671,0.5,10.86,Yes,No,No,No,No,office,home
R11,2023-07-28,18.625671,0.5,8.6,No,No,No,No,No,office,office
R1,2023-07-31,17.748585,3.1,8.51,No,No,No,No,No,office,home
R2,2023-07-31,17.748585,3.1,13.16,No,No,No,No,No,home,office
R3,2023-07-31,17.748585,3.1,6.85,No,No,No,No,No,home,home
R4,2023-07-31,17.748585,3.1,10.46,No,No,No,No,Yes,office,office
R5,2023-07-31,17.748585,3.1,9.73,No,No,No,No,No,office,home
R6,2023-07-31,17.748585,3.1,10.16,No,No,No,No,Yes,office,home
R7,2023-07-31,17.748585,3.1,7.85,No,No,No,No,No,home,home
R8,2023-07-31,17.748585,3.1,5.96,Yes,Yes,No,No,No,office,office
R9,2023-07-31,17.748585,3.1,6.38,No,Yes,No,No,Yes,office,office
R10,2023-07-31,17.748585,3.1,10.86,No,No,No,No,No,office,home
R11,2023-07-31,17.748585,3.1,8.6,No,No,No,No,Yes,home,office
R1,2023-08-01,16.769417,0.8000001,8.51,No,No,No,No,Yes,home,home
R2,2023-08-01,16.769417,0.8000001,13.16,No,No,No,No,No,office,home
R3,2023-08-01,16.769417,0.8000001,6.39,No,No,No,No,Yes,home,home
R4,2023-08-01,16.769417,0.8000001,8.73,No,No,No,No,No,office,home
R5,2023-08-01,16.769417,0.8000001,13.32,No,No,No,No,Yes,office,home
R6,2023-08-01,16.769417,0.8000001,8.49,No,No,No,No,No,office,office
R7,2023-08-01,16.769417,0.8000001,7.85,No,No,No,No,No,home,office
R8,2023-08-01,16.769417,0.8000001,5.96,No,No,No,No,No,office,office
R9,2023-08-01,16.769417,0.8000001,6.38,No,No,No,No,No,home,home
R10,2023-08-01,16.769417,0.8000001,10.86,No,Yes,No,No,No,office,office
R11,2023-08-01,16.769417,0.8000001,8.6,No,Yes,No,No,No,office,office
R1,2023-08-02,17.467333,10.400001,5.68,No,Yes,No,No,No,office,office
R2,2023-08-02,17.467333,10.400001,13.16,No,Yes,No,No,No,office,office
R3,2023-08-02,17.467333,10.400001,10.74,No,No,No,No,No,office,home
R4,2023-08-02,17.467333,10.400001,8.73,Yes,No,No,No,No,office,office
R5,2023-08-02,17.467333,10.400001,12.24,No,No,No,No,No,office,office
R6,2023-08-02,17.467333,10.400001,8.49,No,No,No,No,No,home,home
R7,2023-08-02,17.467333,10.400001,7.85,No,No,No,No,No,office,office
R8,2023-08-02,17.467333,10.400001,5.96,No,No,No,No,No,office,home
R9,2023-08-02,17.467333,10.400001,6.38,Yes,No,No,No,No,office,office
R10,2023-08-02,17.467333,10.400001,10.86,No,No,No,No,No,office,home
R11,2023-08-02,17.467333,10.400001,8.6,No,No,No,No,No,home,office
R1,2023-08-03,16.050669,6.199999,11.99,No,No,No,No,No,office,home
R2,2023-08-03,16.050669,6.199999,13.16,No,No,No,No,Yes,home,home
R3,2023-08-03,16.050669,6.199999,10.25,No,Yes,No,No,No,office,office
R4,2023-08-03,16.050669,6.199999,8.73,No,Yes,No,No,No,office,office
R5,2023-08-03,16.050669,6.199999,8.76,No,No,No,No,No,home,home
R6,2023-08-03,16.050669,6.199999,8.49,No,No,No,No,No,office,office
R7,2023-08-03,16.050669,6.199999,7.85,No,No,No,No,Yes,office,home
R8,2023-08-03,16.050669,6.199999,5.96,No,No,No,No,Yes,home,home
R9,2023-08-03,16.050669,6.199999,13.67,No,No,No,No,No,office,home
R10,2023-08-03,16.050669,6.199999,10.86,No,No,No,No,Yes,office,home
R11,2023-08-03,16.050669,6.199999,9.07,No,No,No,No,No,office,home
R1,2023-08-04,15.934001,2.1999998,8.51,No,No,No,No,No,home,home
R2,2023-08-04,15.934001,2.1999998,11.58,No,No,No,No,No,home,office
R3,2023-08-04,15.934001,2.1999998,6.39,No,No,No,No,No,office,home
R4,2023-08-04,15.934001,2.1999998,8.73,No,No,No,No,No,office,office
R5,2023-08-04,15.934001,2.1999998,5.83,No,Yes,No,No,No,office,office
R6,2023-08-04,15.934001,2.1999998,9.53,No,Yes,No,No,No,office,office
R7,2023-08-04,15.934001,2.1999998,7.85,No,No,No,No,No,office,office
R8,2023-08-04,15.934001,2.1999998,5.96,No,No,No,No,No,home,home
R9,2023-08-04,15.934001,2.1999998,6.38,No,No,No,No,No,home,office
R10,2023-08-04,15.934001,2.1999998,10.86,No,No,No,No,No,office,home
R11,2023-08-04,15.934001,2.1999998,8.6,No,No,No,No,No,home,home
R1,2023-08-07,14.952751,0.6,8.51,No,No,No,No,No,home,home
R2,2023-08-07,14.952751,0.6,10.23,No,No,No,No,No,office,home
R3,2023-08-07,14.952751,0.6,8.05,No,No,No,No,Yes,office,office
R4,2023-08-07,14.952751,0.6,8.04,No,No,No,No,No,office,office
R5,2023-08-07,14.952751,0.6,5.83,No,No,No,No,No,office,office
R6,2023-08-07,14.952751,0.6,11.17,No,No,No,No,Yes,home,home
R7,2023-08-07,14.952751,0.6,7.85,No,Yes,No,No,Yes,office,office
R8,2023-08-07,14.952751,0.6,5.96,No,Yes,No,No,Yes,office,office
R9,2023-08-07,14.952751,0.6,6.38,Yes,No,No,No,No,office,office
R10,2023-08-07,14.952751,0.6,10.86,No,No,No,No,Yes,office,home
R11,2023-08-07,14.952751,0.6,7.57,No,No,No,No,Yes,home,office
R1,2023-08-08,14.76942,0.4,5.44,No,No,No,No,No,home,office
R2,2023-08-08,14.76942,0.4,13.16,No,No,No,No,Yes,office,office
R3,2023-08-08,14.76942,0.4,5.19,No,No,No,No,No,home,home
R4,2023-08-08,14.76942,0.4,8.73,No,No,No,No,Yes,home,office
R5,2023-08-08,14.76942,0.4,13.02,No,No,No,No,No,home,home
R6,2023-08-08,14.76942,0.4,8.49,No,No,No,No,No,home,home
R7,2023-08-08,14.76942,0.4,5.15,No,No,No,No,No,office,office
R8,2023-08-08,14.76942,0.4,7.93,No,No,No,No,No,office,office
R9,2023-08-08,14.76942,0.4,14.41,No,Yes,No,No,No,office,office
R10,2023-08-08,14.76942,0.4,10.86,No,Yes,No,No,No,office,office
R11,2023-08-08,14.76942,0.4,11.51,No,No,No,No,No,office,office
R1,2023-08-09,16.27775,0.0,8.51,No,Yes,No,No,Yes,office,office
R2,2023-08-09,16.27775,0.0,13.7,No,No,No,No,No,home,office
R3,2023-08-09,16.27775,0.0,7.38,No,No,No,No,No,home,office
R4,2023-08-09,16.27775,0.0,8.73,No,No,No,No,No,office,office
R5,2023-08-09,16.27775,0.0,5.83,No,No,No,No,No,home,home
R6,2023-08-09,16.27775,0.0,8.49,No,No,No,No,No,office,home
R7,2023-08-09,16.27775,0.0,7.85,No,No,No,No,No,home,office
R8,2023-08-09,16.27775,0.0,5.96,No,No,No,No,No,home,home
R9,2023-08-09,16.27775,0.0,11.66,Yes,No,No,No,No,office,office
R10,2023-08-09,16.27775,0.0,10.86,No,No,No,No,No,office,home
R11,2023-08-09,16.27775,0.0,6.15,No,Yes,No,No,No,office,office
R1,2023-08-10,19.442335,0.0,8.51,No,No,No,No,No,office,home
R2,2023-08-10,19.442335,0.0,5.01,No,Yes,No,No,No,office,office
R3,2023-08-10,19.442335,0.0,8.18,No,Yes,No,No,No,office,office
R4,2023-08-10,19.442335,0.0,8.73,Yes,No,No,No,No,office,office
R5,2023-08-10,19.442335,0.0,5.83,No,No,No,No,Yes,office,office
R6,2023-08-10,19.442335,0.0,8.49,Yes,No,No,No,No,office,office
R7,2023-08-10,19.442335,0.0,7.85,No,No,No,No,No,home,office
R8,2023-08-10,19.442335,0.0,5.96,No,No,No,No,No,home,home
R9,2023-08-10,19.442335,0.0,12.44,No,No,No,No,No,office,office
R10,2023-08-10,19.442335,0.0,10.86,No,No,No,No,No,office,home
R11,2023-08-10,19.442335,0.0,7.6,No,No,No,No,No,office,office
R1,2023-08-11,20.579834,0.0,8.51,No,No,No,No,No,home,home
R2,2023-08-11,20.579834,0.0,9.55,No,No,No,No,No,home,home
R3,2023-08-11,20.579834,0.0,6.39,No,No,No,No,No,office,office
R4,2023-08-11,20.579834,0.0,9.09,Yes,Yes,No,No,No,office,office
R5,2023-08-11,20.579834,0.0,5.83,Yes,Yes,No,No,No,office,office
R6,2023-08-11,20.579834,0.0,8.49,No,No,No,No,No,home,home
R7,2023-08-11,20.579834,0.0,7.85,No,No,No,No,No,home,home
R8,2023-08-11,20.579834,0.0,10.28,No,No,No,No,No,home,home
R9,2023-08-11,20.579834,0.0,6.38,No,No,No,No,Yes,office,office
R10,2023-08-11,20.579834,0.0,14.37,No,No,No,No,No,office,home
R11,2023-08-11,20.579834,0.0,10.9,No,No,No,No,No,home,office
R1,2023-08-14,18.765251,3.0999997,8.51,Yes,No,No,No,No,office,office
R2,2023-08-14,18.765251,3.0999997,13.16,No,No,No,No,No,office,office
R3,2023-08-14,18.765251,3.0999997,6.39,No,No,No,No,No,home,office
R4,2023-08-14,18.765251,3.0999997,5.61,No,No,No,No,Yes,home,office
R5,2023-08-14,18.765251,3.0999997,11.59,No,No,No,No,No,home,home
R6,2023-08-14,18.765251,3.0999997,8.49,Yes,Yes,No,No,No,office,office
R7,2023-08-14,18.765251,3.0999997,7.85,No,Yes,No,No,No,office,office
R8,2023-08-14,18.765251,3.0999997,10.73,No,No,No,No,Yes,home,home
R9,2023-08-14,18.765251,3.0999997,5.94,Yes,No,No,No,No,office,office
R10,2023-08-14,18.765251,3.0999997,10.86,No,No,No,No,No,office,home
R11,2023-08-14,18.765251,3.0999997,12.75,No,No,No,No,No,office,office
R1,2023-08-15,17.713167,0.3,8.51,No,No,No,No,No,home,office
R2,2023-08-15,17.713167,0.3,11.24,No,No,No,No,No,home,home
R3,2023-08-15,17.713167,0.3,10.4,No,No,No,No,No,home,office
R4,2023-08-15,17.713167,0.3,7.81,Yes,No,No,No,No,office,office
R5,2023-08-15,17.713167,0.3,5.83,No,No,No,No,No,home,home
R6,2023-08-15,17.713167,0.3,8.49,Yes,No,No,No,No,office,office
R7,2023-08-15,17.713167,0.3,7.85,No,No,No,No,No,home,office
R8,2023-08-15,17.713167,0.3,5.96,No,Yes,No,No,No,office,office
R9,2023-08-15,17.713167,0.3,6.38,Yes,Yes,No,No,No,office,office
R10,2023-08-15,17.713167,0.3,10.86,No,No,No,No,Yes,office,home
R11,2023-08-15,17.713167,0.3,8.6,No,No,No,No,No,office,home
R1,2023-08-16,18.00275,0.90000004,8.51,No,No,No,No,No,office,home
R2,2023-08-16,18.00275,0.90000004,12.81,No,No,No,No,No,home,home
R3,2023-08-16,18.00275,0.90000004,6.39,No,No,No,No,No,office,home
R4,2023-08-16,18.00275,0.90000004,8.73,No,No,No,No,No,office,office
R5,2023-08-16,18.00275,0.90000004,5.83,No,No,No,No,No,home,home
R6,2023-08-16,18.00275,0.90000004,8.49,No,No,No,No,Yes,office,home
R7,2023-08-16,18.00275,0.90000004,7.85,No,No,No,No,Yes,office,office
